Timestamp,Temperature (?C),Humidity (%),CO2 (ppm),PM2.5 (?g/m?),PM10 (?g/m?),TVOC (ppb),CO (ppm),Light Intensity (lux),Motion Detected,Occupancy Count,Ventilation Status
18-02-2024 12:40,18.88,55.63,479.05,27.92,96.81,383.17,2.57,234.48,0,15,Closed
18-02-2024 12:45,19.96,39.28,657.57,60.57,50.14,285.34,0.16,575.18,1,19,Open
18-02-2024 12:50,18.45,59.61,989.24,,10.22,,3.05,554.65,1,13,Open
18-02-2024 12:55,21.25,64.22,746.28,8.4,50.72,245.15,1.09,607.71,0,48,Closed
18-02-2024 13:00,21.89,47.76,962.55,60.08,98.41,435.73,0.91,455.28,1,0,Closed
18-02-2024 13:05,20.71,51.62,420.92,43.19,24.24,429.11,4.33,805.73,1,43,Closed
18-02-2024 13:10,26.29,61.37,546.48,25.43,15.17,140.56,4.04,633.45,0,0,Closed
18-02-2024 13:15,21.57,48.62,599.21,,,175.52,0.21,414.3,1,9,Open
18-02-2024 13:20,20.81,56.66,979.63,11.31,22.75,201.41,3.16,230.41,1,20,Open
18-02-2024 13:25,23.43,38.59,746.51,70.57,20.27,460.15,1.81,429.36,0,15,Closed
18-02-2024 13:30,19.41,53.37,486.14,24.87,67.75,104.6,3.9,615.38,0,31,Closed
18-02-2024 13:35,26.02,31.49,415.61,36.3,22.58,412.63,4.71,137.1,1,30,Closed
18-02-2024 13:40,18.75,,594.95,49.78,10.9,397.19,3.31,752.1,0,21,Closed
18-02-2024 13:45,27.87,66.83,862.98,25.15,79.03,392.35,3.29,561.51,1,16,Open
18-02-2024 13:50,25.72,53.81,868.79,20.36,86.25,263.9,4.72,769.11,1,36,Closed
18-02-2024 13:55,19.99,48.22,732.95,74.81,36.24,246.91,1.55,678.73,1,16,Closed
18-02-2024 14:00,18.06,50.88,946.88,45.71,45.71,467.55,0.4,350.9,1,24,Open
18-02-2024 14:05,26.15,30,473.33,34.87,54.28,458.05,3.32,319.67,0,26,Open
18-02-2024 14:10,25.07,48.38,854.49,10.52,46.04,130.25,3.77,555.08,1,36,Open
18-02-2024 14:15,25.29,35.76,875.92,8.02,90.04,309.94,4.93,423.41,1,12,Open
18-02-2024 14:20,25.71,64.33,670.73,20.48,15.06,136.16,0.56,839.72,0,0,Open
18-02-2024 14:25,18.74,46.54,847.59,26.47,74.58,461.25,1.25,932.33,0,16,Open
18-02-2024 14:30,21.58,39.28,543.04,46.3,74.43,373.47,0.55,304.95,0,20,Open
18-02-2024 14:35,19.16,50.47,695.79,45.05,22.05,101.34,,886.43,1,42,Closed
18-02-2024 14:40,26.63,44.63,525.02,73.59,83.66,413.99,1.49,529.32,1,,Open
18-02-2024 14:45,24.23,48.4,702.74,34.36,67.19,114.06,3.37,360.66,0,1,Open
18-02-2024 14:50,21.31,59.03,,71.39,45.02,161.25,1.58,759.69,0,1,Open
18-02-2024 14:55,18.64,50.37,401.56,25.33,10.26,485.4,4.58,319.69,0,2,Closed
18-02-2024 15:00,21.11,66.6,,67.62,10.55,172.63,3.12,324.94,0,17,Closed
18-02-2024 15:05,21.25,40.27,690.16,49.34,46.3,97.69,1.53,658.17,0,1,
18-02-2024 15:10,25.3,43.04,458.98,8.86,58.6,183.13,1.99,828.53,1,13,Open
18-02-2024 15:15,24.38,61.1,610.27,70.12,70.63,270.92,2.53,766.22,1,5,Open
18-02-2024 15:20,26.87,61.34,925.5,9.51,23.83,59.25,4.93,421.94,0,0,Closed
18-02-2024 15:25,22.72,69.06,783.71,56.58,20.39,75.92,1.5,113.43,1,49,Closed
18-02-2024 15:30,19.2,55.14,553.12,43.77,27.99,137.66,1.78,737.21,1,17,Open
18-02-2024 15:35,25.13,52.95,418.98,52.94,18.44,234.35,0.16,335.1,1,29,Closed
18-02-2024 15:40,25.61,53.55,585.25,48.12,,383.89,3.29,378.02,0,27,Open
18-02-2024 15:45,23.61,44.45,979.57,74.54,93.99,65.46,0.41,982.45,0,27,Closed
18-02-2024 15:50,25.71,45.4,609.05,55.6,65.05,157.07,4.61,266.87,1,30,Closed
18-02-2024 15:55,22.94,41.19,515.7,38.15,,459.15,3.34,604.61,1,15,Open
18-02-2024 16:00,23.23,53.88,662.95,36.71,72.78,472.12,1.08,807.18,1,1,Closed
18-02-2024 16:05,22.28,63.61,843.7,9.97,26.05,249.89,3.57,703.96,0,8,Open
18-02-2024 16:10,18.25,55.34,914.81,24.25,80.84,279.23,4.32,277.07,0,24,Open
18-02-2024 16:15,19.08,48.9,447.61,7.32,81.34,63.73,1.07,931.99,0,22,Open
18-02-2024 16:20,18.31,32.55,599.83,19.07,79.02,340.67,0.65,911.57,0,0,Open
18-02-2024 16:25,24.36,39.91,916.04,17.2,97.11,211.38,0.64,147.4,1,16,Closed
18-02-2024 16:30,21.14,63.8,618.17,25.04,45.08,207.81,3.94,181.36,1,22,Closed
18-02-2024 16:35,23.09,45.85,631.63,24.45,13.91,363.23,2.87,400.94,1,45,Closed
18-02-2024 16:40,27.08,65.42,912.33,26.66,45.22,227.87,3.85,160.76,0,,Open
18-02-2024 16:45,20.49,39.71,675.84,26.83,43.56,295.97,4.31,142.16,1,41,Closed
18-02-2024 16:50,22.1,53.03,482.72,10.95,53.5,88.72,3.1,427.97,0,9,Closed
18-02-2024 16:55,25.56,68.55,576.7,60.69,50.67,114.65,0.96,379.62,1,28,Open
18-02-2024 17:00,20.29,52.27,795.67,68.89,34.17,169.52,3.73,896.82,0,8,Closed
18-02-2024 17:05,18.77,38.36,603.21,72.82,37.62,311.94,1.14,902.69,1,0,Closed
18-02-2024 17:10,20.9,39.18,735.16,7.18,59.47,152.01,2.98,419.38,1,15,Open
18-02-2024 17:15,19.61,36.31,585.46,27.64,63.73,111.67,1.62,867.12,0,42,Closed
18-02-2024 17:20,27.3,30.85,931.37,39.3,86.04,352.44,,393.24,1,37,Closed
18-02-2024 17:25,26.08,57.7,870.56,68.22,95.71,275.81,2.92,302.52,0,31,Open
18-02-2024 17:30,24.33,61.32,520.2,51.09,,56.77,,307.54,1,21,Open
18-02-2024 17:35,26.71,62.81,787.57,18.02,84.48,447.78,0.54,879.87,1,20,Closed
18-02-2024 17:40,26.04,32.95,452.68,66.65,99.24,181.09,0.41,863.55,1,33,Open
18-02-2024 17:45,19.87,67.69,617.98,74.91,69.1,131.35,3.51,811.44,0,32,Closed
18-02-2024 17:50,26.93,54.74,737.49,24.33,77.88,112.06,4.15,882.56,0,0,Closed
18-02-2024 17:55,23.39,33.53,972.21,27.2,51.61,236.13,4.54,227.64,1,31,Closed
18-02-2024 18:00,26.07,33.4,857.82,48.18,85.03,337.68,1.46,,1,12,Open
18-02-2024 18:05,26.96,50.39,614.42,49.46,50.87,429.4,1.92,641.13,1,27,Closed
18-02-2024 18:10,21.18,39.77,959.42,5.88,81.15,442.11,2.2,625.22,0,8,Open
18-02-2024 18:15,19.1,,526.27,68.81,26.11,260.74,1.19,318.05,0,45,Open
18-02-2024 18:20,20.28,30.47,899.72,72.83,81.37,,4.25,256.79,1,39,Open
18-02-2024 18:25,22.27,49.29,706.87,69.52,30.82,78.44,2.83,255.36,1,4,Open
18-02-2024 18:30,26.18,33.46,965.58,50.76,63.01,292.74,4.31,330.82,1,33,Open
18-02-2024 18:35,26.61,33.07,,45.22,44.53,422.8,2.26,802.85,1,28,Closed
18-02-2024 18:40,18.07,36.35,408.27,14.08,55.48,482.42,2.24,253.81,0,47,Open
18-02-2024 18:45,23.11,30.43,598.78,9.35,16.14,359.18,3.48,416.12,1,29,Closed
18-02-2024 18:50,22.17,34.14,561.51,11.07,21.59,50.03,1.71,343.04,0,21,Closed
18-02-2024 18:55,20.22,53.77,989.28,26.03,65.05,324.64,4.52,790.07,0,17,Open
18-02-2024 19:00,19.2,40.27,,60.68,79.11,287.49,2.26,466.01,0,27,Closed
18-02-2024 19:05,21.38,32.75,661.67,60.21,15.66,181.38,1.05,376.33,1,22,Open
18-02-2024 19:10,27.43,35.42,970.86,55.12,40.96,102.93,0.57,766.14,0,25,Open
18-02-2024 19:15,21.23,31.73,924.01,45.45,53.4,152.52,2.21,751.66,,7,Closed
18-02-2024 19:20,23.19,61.08,490.56,6.73,81.66,170.44,2.9,631.6,1,27,Closed
18-02-2024 19:25,25.03,52.46,903.13,72.78,66.83,195.67,1.76,555.91,,47,Open
18-02-2024 19:30,21.64,48.97,791.52,51.18,76.54,306.23,1.77,531.35,0,18,Open
18-02-2024 19:35,27.72,64.93,450.7,22.26,82.12,254.09,4.72,779.54,1,,Open
18-02-2024 19:40,27.62,33.19,410.12,68.75,21.51,,0.69,113.54,0,43,Open
18-02-2024 19:45,20.52,31.49,954.15,22.53,50.87,275.46,3.52,873.78,0,17,Open
18-02-2024 19:50,22.97,46.96,655.52,45.58,81.02,240.2,1.9,923.16,1,10,Open
18-02-2024 19:55,21.01,40.56,875.74,13.33,87.94,365.06,0.54,,1,43,Open
18-02-2024 20:00,20.85,49.03,439.06,73.52,31.1,388.45,3.52,,1,23,Open
18-02-2024 20:05,18.37,66.14,905.63,45.16,27.18,191.5,4.12,,1,2,Open
18-02-2024 20:10,24.1,47.85,740.6,12.52,16.51,331.15,0.43,480.68,0,31,Closed
18-02-2024 20:15,23.03,36.85,519.91,18.67,45.05,221.32,0.47,294.08,1,24,Closed
18-02-2024 20:20,18.51,61.91,553.12,41.91,78.11,,2.86,,0,37,Closed
18-02-2024 20:25,20.79,45.55,989.61,12.24,62.61,311.84,4.87,540.37,1,39,
18-02-2024 20:30,27.08,60.2,699.99,58.21,31.25,154.55,3.97,369.11,0,26,Open
18-02-2024 20:35,20.4,35.66,504.28,44.36,10.25,153.57,,646.2,0,26,Open
18-02-2024 20:40,19.45,43.49,798.74,15.61,79.18,269.62,2.66,600.46,1,47,Open
18-02-2024 20:45,22.89,,447.25,19.69,51.22,93.78,4.11,520.9,1,33,Open
18-02-2024 20:50,27.86,39.42,853.39,61.04,82.54,324.02,4.51,207.83,1,30,Open
18-02-2024 20:55,20.42,55.88,926.34,59.75,66.22,242.32,4.02,604.41,1,11,Open
18-02-2024 21:00,,41.73,513.42,16.25,45.69,314.06,1.45,232.07,1,17,Open
18-02-2024 21:05,25.62,35.57,678.76,27.88,53.5,112.11,2.57,241.97,0,16,Open
18-02-2024 21:10,20.38,32.25,935.46,22.73,75.38,428.79,1.41,640.98,1,26,Closed
18-02-2024 21:15,,54.11,882.76,29.14,56.16,88.37,4.66,118.98,0,13,Closed
18-02-2024 21:20,21.68,33.08,420.06,29.16,64.47,301.22,2.37,713.83,0,46,Closed
18-02-2024 21:25,24.32,61.95,484.75,40.28,17.2,146.92,4.35,643.1,0,46,Closed
18-02-2024 21:30,24.34,44.29,990.31,23.02,22.88,70.74,3.36,559.82,0,43,Closed
18-02-2024 21:35,23.36,42.2,554.74,12.19,37.65,180.15,2.56,298.72,1,20,Closed
18-02-2024 21:40,18.9,54.99,715.93,24.13,47.4,159,2.36,588.59,0,35,Closed
18-02-2024 21:45,26.35,52.26,422.06,33.69,23.84,381.05,3.32,871.96,1,6,Open
18-02-2024 21:50,,69.5,488.2,65.3,14,269.31,2.04,257.85,0,41,Open
18-02-2024 21:55,19.87,32.05,655.51,30,69.23,297.16,0.25,542.11,0,45,Closed
18-02-2024 22:00,18.41,64.05,530.49,19.23,79.05,132.76,3.59,490.85,1,1,Open
18-02-2024 22:05,23.91,53.98,758.13,66.68,21.79,188.95,2.35,741.9,0,48,Open
18-02-2024 22:10,24.78,65.3,967.86,45.46,95.12,486.54,3.52,303.01,1,18,Open
18-02-2024 22:15,18.17,57.76,829.98,39.04,62.62,97.6,1.95,872.74,0,33,Closed
18-02-2024 22:20,23.12,60.49,758.67,46.5,40.35,199.67,1.56,832.66,0,12,
18-02-2024 22:25,20.26,61.47,417.66,56.17,55.22,446.85,3.45,570.49,0,41,Closed
18-02-2024 22:30,24.45,30.61,902.18,11.18,21.03,,2.57,513.67,1,48,Closed
18-02-2024 22:35,19.74,63.53,754.77,71.53,34.31,124.14,1.39,450.25,0,33,Closed
18-02-2024 22:40,24.91,57.17,535.56,60.59,58.73,315.23,4.01,501.06,1,23,Closed
18-02-2024 22:45,21.87,67.9,829.06,73.18,35.67,323.68,4.83,701.21,0,30,Open
18-02-2024 22:50,27.37,35.33,831.27,39.82,31.22,312.37,1.57,192.03,0,29,Open
18-02-2024 22:55,19.38,66.86,782.6,29.85,82,262.97,0.82,816.78,0,35,Closed
18-02-2024 23:00,21.41,64.18,781.5,51.16,48.54,491.77,4.45,378.95,1,34,Open
18-02-2024 23:05,,39.05,696.49,12.64,40.86,66.54,1.26,511.05,0,29,Open
18-02-2024 23:10,27.25,34.96,678.17,19.63,34.78,177.57,1.26,748.49,1,4,Open
18-02-2024 23:15,26.77,55.14,416.78,12.48,32.94,211.71,4.07,159.75,0,24,Closed
18-02-2024 23:20,20.58,57.04,893.79,38.06,63.11,351.61,3.22,404.57,0,37,Open
18-02-2024 23:25,24.6,58.44,963.19,26.35,57.32,191.44,0.41,392.02,0,20,Closed
18-02-2024 23:30,26.17,63.82,965.4,19.34,24.42,128.32,3.33,119.58,0,1,Open
18-02-2024 23:35,23.55,52.27,765.52,6.64,42.81,225.21,3.49,716.71,1,12,Open
18-02-2024 23:40,23.3,41.36,784.9,53.58,73.87,,2.66,413.44,0,13,Closed
18-02-2024 23:45,20.42,64.28,740.91,36.37,47.19,233.64,1.43,533.34,1,13,Closed
18-02-2024 23:50,18.93,47.34,630.93,32.49,59.03,311.77,0.6,125.47,1,3,Closed
18-02-2024 23:55,26.97,47.38,909.76,19.12,14.34,218.26,0.12,757.99,0,10,Open
19-02-2024 00:00,27,49.7,400.14,35.72,25.04,349.17,2.36,308.87,0,41,Closed
19-02-2024 00:05,24.33,63.42,563.74,48.62,75.32,299.95,3.68,313.84,1,31,Open
19-02-2024 00:10,21.39,68.83,955.11,10.6,90.76,424.97,0.12,196.1,1,23,Open
19-02-2024 00:15,21.49,36.84,498.34,13.56,40.66,459.96,3.93,385.89,1,39,Open
19-02-2024 00:20,25.26,34.89,929.3,30.82,76.99,165.46,2.25,793.57,0,46,Open
19-02-2024 00:25,26.97,41.51,869.83,46.41,11.14,154.38,,412.67,1,46,Closed
19-02-2024 00:30,26.87,66.17,787,8.72,96.55,274.1,4.98,667.31,1,17,Open
19-02-2024 00:35,25.8,51.12,778.69,51.41,74.83,249.35,3.03,543.03,0,4,Closed
19-02-2024 00:40,24.42,30.23,655.21,63.71,98.2,492,2.7,273.31,1,42,Open
19-02-2024 00:45,18.84,53.28,416.51,23.83,62.83,334.99,0.44,964.29,0,6,Closed
19-02-2024 00:50,19.62,51.96,776.48,36.05,45.56,167.07,1.1,368.89,0,45,Open
19-02-2024 00:55,26.99,33.19,542.4,29.92,31.06,190.78,4.25,880.95,0,22,Open
19-02-2024 01:00,24.06,35.96,524.55,27.22,40.38,233.81,0.37,688.01,0,12,Open
19-02-2024 01:05,18.09,33.72,569.58,50.51,62.23,63.24,0.85,963.47,1,26,Open
19-02-2024 01:10,19.01,50.85,606.4,71.53,72.28,484.33,1.25,252.49,0,12,Open
19-02-2024 01:15,24.64,51.24,512.79,30.54,24.05,90.22,2.31,282.83,1,8,
19-02-2024 01:20,18.05,48.41,988.18,51.51,32.25,306,0.36,556,0,,Closed
19-02-2024 01:25,19.61,48.04,781.77,21.01,28.26,484.85,2.07,386.28,0,41,Closed
19-02-2024 01:30,23.49,53.22,640.64,64.61,67.87,374.46,0.74,520.17,1,29,Open
19-02-2024 01:35,24.92,56.49,428.24,21.88,91.47,,2.68,395.7,1,28,Closed
19-02-2024 01:40,24.52,68.55,905.85,9.84,28.01,474.33,1.67,717.72,0,36,Closed
19-02-2024 01:45,20.24,51.81,617.95,26.05,76.4,440.7,3.6,126.08,1,33,Closed
19-02-2024 01:50,25.12,40.63,776.99,32.85,51.37,59.96,4.66,983.95,0,13,Open
19-02-2024 01:55,20.37,68.98,860.29,28.65,61.62,198.66,4.34,857.66,1,37,Closed
19-02-2024 02:00,21.25,34.23,779.36,54.97,28.47,431.11,4.21,538.45,1,37,Closed
19-02-2024 02:05,25.46,42.51,825.62,53.03,57.8,228.51,2.47,673.16,0,21,Open
19-02-2024 02:10,24.5,66.1,673.01,65.73,24.68,466.24,1.27,521.42,1,29,
19-02-2024 02:15,26.49,67.75,431.1,36.75,79.21,369.39,4.79,289.3,0,30,Open
19-02-2024 02:20,24.58,55.8,924.19,12.41,45.49,102.16,0.99,407.68,0,37,Closed
19-02-2024 02:25,23.68,30.58,477.58,73.66,16.17,237.18,2.21,,1,45,Closed
19-02-2024 02:30,18.94,47.7,967.53,64.24,47.07,135.54,0.7,987.1,0,20,Open
19-02-2024 02:35,21.68,67.31,846.57,60.69,21.21,142.02,3.86,738.64,1,1,Open
19-02-2024 02:40,20.65,65.59,799.16,61.62,63,326.08,0.62,259.96,1,4,Closed
19-02-2024 02:45,20.44,65.75,722.69,20.7,40.97,104.21,2.77,686.4,0,15,Closed
19-02-2024 02:50,27.73,41.75,921.14,65.95,86.08,342.17,2.41,280.05,,39,Open
19-02-2024 02:55,21.93,62.99,887.53,30.76,90.82,246.72,2.85,434.72,0,14,Closed
19-02-2024 03:00,26.92,56.89,587.11,54.41,73.24,193.06,3.38,899.28,1,36,Closed
19-02-2024 03:05,24.31,65.75,647.1,8.53,10.33,367.92,3.84,889.28,0,21,Closed
19-02-2024 03:10,25.95,55.52,558.43,36.59,93.84,235.83,2.47,745.36,1,2,Closed
19-02-2024 03:15,23.03,45.01,546.95,54.01,12.05,178.72,0.41,393.88,0,22,Closed
19-02-2024 03:20,23.77,55.38,802.86,38.83,63.78,234.48,2.45,843.25,1,34,Open
19-02-2024 03:25,22.93,44.31,953.25,37.4,15.21,,1.54,983.92,1,31,Open
19-02-2024 03:30,19.95,30.1,913.56,30.91,42.54,416.47,3.82,425.13,0,30,Open
19-02-2024 03:35,25.22,62.67,535.59,16.42,60.15,202.02,0.69,,0,5,Open
19-02-2024 03:40,20.81,63.97,961.02,59.7,30.26,361,3.33,180.39,0,26,Closed
19-02-2024 03:45,18.24,59.92,669.07,54.63,22.1,490.75,4.4,144.82,0,22,Closed
19-02-2024 03:50,24.45,39.1,598.05,27.49,80.17,270.07,,469.15,1,6,Open
19-02-2024 03:55,19.77,35.44,522.58,55.52,24.61,108.22,2.89,976.25,1,49,Closed
19-02-2024 04:00,27.4,36.8,798.16,38.51,,172.75,3.73,673.74,0,32,Open
19-02-2024 04:05,27.54,50.04,667.97,25.13,71.58,465.25,0.7,802.44,1,47,Open
19-02-2024 04:10,27.15,40.57,705.12,73.9,18.24,96.91,4.59,351.12,1,33,Closed
19-02-2024 04:15,21.7,65.13,551.85,37.03,29.25,64.86,2.32,,1,43,Closed
19-02-2024 04:20,18.15,51.77,802.87,17.4,82.48,437.24,2.97,,1,1,Open
19-02-2024 04:25,27.28,48.01,470.37,39.84,47.72,112.84,1.69,353.93,0,46,Open
19-02-2024 04:30,22.28,64.86,935.94,47.17,18.58,106.69,1.8,684.31,0,33,Closed
19-02-2024 04:35,27.67,33.24,761.25,,97.47,226.59,,325.1,0,1,Open
19-02-2024 04:40,27.64,64.84,674.11,46.76,,194.88,2.57,413.53,1,11,Closed
19-02-2024 04:45,26.53,62.09,501.54,10.57,44.28,285.39,2.21,302.68,0,46,Open
19-02-2024 04:50,20.94,57.48,734.5,49.6,52.06,236.34,1.21,159.92,0,44,Open
19-02-2024 04:55,21.85,34.44,571.02,16.62,62.28,383.8,1.43,321.19,0,5,Closed
19-02-2024 05:00,26.51,32.1,901.34,55.01,50.02,262.89,3.91,841.16,1,17,Open
19-02-2024 05:05,21.17,36.64,709.22,38.4,76.09,103.59,1.28,222.79,1,21,Open
19-02-2024 05:10,19.69,40.81,401.51,73.64,16.14,139.53,3.13,232.38,0,24,Open
19-02-2024 05:15,23.57,54.65,648.31,25.08,93.74,,1.21,691.68,1,8,Open
19-02-2024 05:20,27.36,33.21,930.96,53.71,70.78,333.93,1.52,488.2,0,12,Open
19-02-2024 05:25,24.96,37.32,593.69,13.52,60.24,348.97,2.36,478.53,1,46,Closed
19-02-2024 05:30,23.7,38.02,523.79,64.85,27.16,174.8,3.05,925.72,0,41,Closed
19-02-2024 05:35,18.97,56.83,439,36.53,42.06,484.87,0.65,539.87,1,42,Open
19-02-2024 05:40,24.15,43.85,606.59,69.03,76,255.69,2.11,256.39,0,29,Open
19-02-2024 05:45,27.9,41.01,949.5,8.52,77.95,81.72,2.96,744.14,1,0,Closed
19-02-2024 05:50,19.4,31.16,579.2,67.24,55.45,457.52,1.5,396.66,1,47,Open
19-02-2024 05:55,23.18,33.77,520.18,55.49,32.46,188.37,0.22,602.73,1,48,Open
19-02-2024 06:00,26.77,51.99,648.79,47.72,85.07,459.92,0.93,666.95,0,37,Closed
19-02-2024 06:05,25.41,55.33,688.76,29.99,29.05,,3.06,824.16,0,39,Open
19-02-2024 06:10,24.97,59.69,959.49,36.04,91.73,221.72,1.01,151.31,0,34,Open
19-02-2024 06:15,25.02,49.9,656.31,52.8,45.28,,2.21,502.52,1,32,Open
19-02-2024 06:20,21.59,40.76,958.59,25.18,57.83,202.08,0.7,519.93,0,15,Open
19-02-2024 06:25,20.94,41.7,414.74,60.78,97.74,499.33,2.87,792.09,1,14,Open
19-02-2024 06:30,26.09,56.03,466.14,37.4,69.62,51.09,1.66,531.81,1,2,Open
19-02-2024 06:35,26.1,47.06,521.13,38.79,31.09,206.95,0.62,982.34,1,11,Open
19-02-2024 06:40,26.67,36.34,,12.35,11.04,239.46,,904.82,1,45,Open
19-02-2024 06:45,27.13,30.16,540.38,58.56,77.93,254.45,1.44,585.82,0,38,Open
19-02-2024 06:50,23.11,40.4,926.24,11.61,60.76,163.36,3.18,,1,47,Open
19-02-2024 06:55,23.02,60.22,402.56,44.39,28.66,56.05,4.57,279.3,1,48,Open
19-02-2024 07:00,25.98,56.59,996.27,9.01,81.21,90.15,0.23,800.98,1,,Closed
19-02-2024 07:05,24.5,33.9,632.6,49.18,15.67,479.4,0.67,861.14,1,34,Open
