Temperature (?C),Humidity (%),Light Intensity (lux),year,month,day,day_of_week,hour,minute,quarter,week_of_year,is_weekend
23.98,50.043729282057186,102.67,2024,2,18,6,12,30,1,7,True
27.22,57.91,381.24,2024,2,18,6,12,35,1,7,True
18.88,55.63,234.48,2024,2,18,6,12,40,1,7,True
19.96,39.28,575.18,2024,2,18,6,12,45,1,7,True
18.45,59.61,554.65,2024,2,18,6,12,50,1,7,True
21.25,64.22,607.71,2024,2,18,6,12,55,1,7,True
21.89,47.76,455.28,2024,2,18,6,13,0,1,7,True
20.71,51.62,805.73,2024,2,18,6,13,5,1,7,True
26.29,61.37,633.45,2024,2,18,6,13,10,1,7,True
21.57,48.62,414.3,2024,2,18,6,13,15,1,7,True
20.81,56.66,230.41,2024,2,18,6,13,20,1,7,True
23.43,38.59,429.36,2024,2,18,6,13,25,1,7,True
19.41,53.37,615.38,2024,2,18,6,13,30,1,7,True
26.02,31.49,137.1,2024,2,18,6,13,35,1,7,True
18.75,50.043729282057186,752.1,2024,2,18,6,13,40,1,7,True
27.87,66.83,561.51,2024,2,18,6,13,45,1,7,True
25.72,53.81,769.11,2024,2,18,6,13,50,1,7,True
19.99,48.22,678.73,2024,2,18,6,13,55,1,7,True
18.06,50.88,350.9,2024,2,18,6,14,0,1,7,True
26.15,30.0,319.67,2024,2,18,6,14,5,1,7,True
25.07,48.38,555.08,2024,2,18,6,14,10,1,7,True
25.29,35.76,423.41,2024,2,18,6,14,15,1,7,True
25.71,64.33,839.72,2024,2,18,6,14,20,1,7,True
18.74,46.54,932.33,2024,2,18,6,14,25,1,7,True
21.58,39.28,304.95,2024,2,18,6,14,30,1,7,True
19.16,50.47,886.43,2024,2,18,6,14,35,1,7,True
26.63,44.63,529.32,2024,2,18,6,14,40,1,7,True
24.23,48.4,360.66,2024,2,18,6,14,45,1,7,True
21.31,59.03,759.69,2024,2,18,6,14,50,1,7,True
18.64,50.37,319.69,2024,2,18,6,14,55,1,7,True
21.11,66.6,324.94,2024,2,18,6,15,0,1,7,True
21.25,40.27,658.17,2024,2,18,6,15,5,1,7,True
25.3,43.04,828.53,2024,2,18,6,15,10,1,7,True
24.38,61.1,766.22,2024,2,18,6,15,15,1,7,True
26.87,61.34,421.94,2024,2,18,6,15,20,1,7,True
22.72,69.06,113.43,2024,2,18,6,15,25,1,7,True
19.2,55.14,737.21,2024,2,18,6,15,30,1,7,True
25.13,52.95,335.1,2024,2,18,6,15,35,1,7,True
25.61,53.55,378.02,2024,2,18,6,15,40,1,7,True
23.61,44.45,982.45,2024,2,18,6,15,45,1,7,True
25.71,45.4,266.87,2024,2,18,6,15,50,1,7,True
22.94,41.19,604.61,2024,2,18,6,15,55,1,7,True
23.23,53.88,807.18,2024,2,18,6,16,0,1,7,True
22.28,63.61,703.96,2024,2,18,6,16,5,1,7,True
18.25,55.34,277.07,2024,2,18,6,16,10,1,7,True
19.08,48.9,931.99,2024,2,18,6,16,15,1,7,True
18.31,32.55,911.57,2024,2,18,6,16,20,1,7,True
24.36,39.91,147.4,2024,2,18,6,16,25,1,7,True
21.14,63.8,181.36,2024,2,18,6,16,30,1,7,True
23.09,45.85,400.94,2024,2,18,6,16,35,1,7,True
27.08,65.42,160.76,2024,2,18,6,16,40,1,7,True
20.49,39.71,142.16,2024,2,18,6,16,45,1,7,True
22.1,53.03,427.97,2024,2,18,6,16,50,1,7,True
25.56,68.55,379.62,2024,2,18,6,16,55,1,7,True
20.29,52.27,896.82,2024,2,18,6,17,0,1,7,True
18.77,38.36,902.69,2024,2,18,6,17,5,1,7,True
20.9,39.18,419.38,2024,2,18,6,17,10,1,7,True
19.61,36.31,867.12,2024,2,18,6,17,15,1,7,True
27.3,30.85,393.24,2024,2,18,6,17,20,1,7,True
26.08,57.7,302.52,2024,2,18,6,17,25,1,7,True
24.33,61.32,307.54,2024,2,18,6,17,30,1,7,True
26.71,62.81,879.87,2024,2,18,6,17,35,1,7,True
26.04,32.95,863.55,2024,2,18,6,17,40,1,7,True
19.87,67.69,811.44,2024,2,18,6,17,45,1,7,True
26.93,54.74,882.56,2024,2,18,6,17,50,1,7,True
23.39,33.53,227.64,2024,2,18,6,17,55,1,7,True
26.07,33.4,550.4351789883675,2024,2,18,6,18,0,1,7,True
26.96,50.39,641.13,2024,2,18,6,18,5,1,7,True
21.18,39.77,625.22,2024,2,18,6,18,10,1,7,True
19.1,50.043729282057186,318.05,2024,2,18,6,18,15,1,7,True
20.28,30.47,256.79,2024,2,18,6,18,20,1,7,True
22.27,49.29,255.36,2024,2,18,6,18,25,1,7,True
26.18,33.46,330.82,2024,2,18,6,18,30,1,7,True
26.61,33.07,802.85,2024,2,18,6,18,35,1,7,True
18.07,36.35,253.81,2024,2,18,6,18,40,1,7,True
23.11,30.43,416.12,2024,2,18,6,18,45,1,7,True
22.17,34.14,343.04,2024,2,18,6,18,50,1,7,True
20.22,53.77,790.07,2024,2,18,6,18,55,1,7,True
19.2,40.27,466.01,2024,2,18,6,19,0,1,7,True
21.38,32.75,376.33,2024,2,18,6,19,5,1,7,True
27.43,35.42,766.14,2024,2,18,6,19,10,1,7,True
21.23,31.73,751.66,2024,2,18,6,19,15,1,7,True
23.19,61.08,631.6,2024,2,18,6,19,20,1,7,True
25.03,52.46,555.91,2024,2,18,6,19,25,1,7,True
21.64,48.97,531.35,2024,2,18,6,19,30,1,7,True
27.72,64.93,779.54,2024,2,18,6,19,35,1,7,True
27.62,33.19,113.54,2024,2,18,6,19,40,1,7,True
20.52,31.49,873.78,2024,2,18,6,19,45,1,7,True
22.97,46.96,923.16,2024,2,18,6,19,50,1,7,True
21.01,40.56,550.4351789883675,2024,2,18,6,19,55,1,7,True
20.85,49.03,550.4351789883675,2024,2,18,6,20,0,1,7,True
18.37,66.14,550.4351789883675,2024,2,18,6,20,5,1,7,True
24.1,47.85,480.68,2024,2,18,6,20,10,1,7,True
23.03,36.85,294.08,2024,2,18,6,20,15,1,7,True
18.51,61.91,550.4351789883675,2024,2,18,6,20,20,1,7,True
20.79,45.55,540.37,2024,2,18,6,20,25,1,7,True
27.08,60.2,369.11,2024,2,18,6,20,30,1,7,True
20.4,35.66,646.2,2024,2,18,6,20,35,1,7,True
19.45,43.49,600.46,2024,2,18,6,20,40,1,7,True
22.89,50.043729282057186,520.9,2024,2,18,6,20,45,1,7,True
27.86,39.42,207.83,2024,2,18,6,20,50,1,7,True
20.42,55.88,604.41,2024,2,18,6,20,55,1,7,True
22.995822802039598,41.73,232.07,2024,2,18,6,21,0,1,7,True
25.62,35.57,241.97,2024,2,18,6,21,5,1,7,True
20.38,32.25,640.98,2024,2,18,6,21,10,1,7,True
22.995822802039598,54.11,118.98,2024,2,18,6,21,15,1,7,True
21.68,33.08,713.83,2024,2,18,6,21,20,1,7,True
24.32,61.95,643.1,2024,2,18,6,21,25,1,7,True
24.34,44.29,559.82,2024,2,18,6,21,30,1,7,True
23.36,42.2,298.72,2024,2,18,6,21,35,1,7,True
18.9,54.99,588.59,2024,2,18,6,21,40,1,7,True
26.35,52.26,871.96,2024,2,18,6,21,45,1,7,True
22.995822802039598,69.5,257.85,2024,2,18,6,21,50,1,7,True
19.87,32.05,542.11,2024,2,18,6,21,55,1,7,True
18.41,64.05,490.85,2024,2,18,6,22,0,1,7,True
23.91,53.98,741.9,2024,2,18,6,22,5,1,7,True
24.78,65.3,303.01,2024,2,18,6,22,10,1,7,True
18.17,57.76,872.74,2024,2,18,6,22,15,1,7,True
23.12,60.49,832.66,2024,2,18,6,22,20,1,7,True
20.26,61.47,570.49,2024,2,18,6,22,25,1,7,True
24.45,30.61,513.67,2024,2,18,6,22,30,1,7,True
19.74,63.53,450.25,2024,2,18,6,22,35,1,7,True
24.91,57.17,501.06,2024,2,18,6,22,40,1,7,True
21.87,67.9,701.21,2024,2,18,6,22,45,1,7,True
27.37,35.33,192.03,2024,2,18,6,22,50,1,7,True
19.38,66.86,816.78,2024,2,18,6,22,55,1,7,True
21.41,64.18,378.95,2024,2,18,6,23,0,1,7,True
22.995822802039598,39.05,511.05,2024,2,18,6,23,5,1,7,True
27.25,34.96,748.49,2024,2,18,6,23,10,1,7,True
26.77,55.14,159.75,2024,2,18,6,23,15,1,7,True
20.58,57.04,404.57,2024,2,18,6,23,20,1,7,True
24.6,58.44,392.02,2024,2,18,6,23,25,1,7,True
26.17,63.82,119.58,2024,2,18,6,23,30,1,7,True
23.55,52.27,716.71,2024,2,18,6,23,35,1,7,True
23.3,41.36,413.44,2024,2,18,6,23,40,1,7,True
20.42,64.28,533.34,2024,2,18,6,23,45,1,7,True
18.93,47.34,125.47,2024,2,18,6,23,50,1,7,True
26.97,47.38,757.99,2024,2,18,6,23,55,1,7,True
27.0,49.7,308.87,2024,2,19,0,0,0,1,8,False
24.33,63.42,313.84,2024,2,19,0,0,5,1,8,False
21.39,68.83,196.1,2024,2,19,0,0,10,1,8,False
21.49,36.84,385.89,2024,2,19,0,0,15,1,8,False
25.26,34.89,793.57,2024,2,19,0,0,20,1,8,False
26.97,41.51,412.67,2024,2,19,0,0,25,1,8,False
26.87,66.17,667.31,2024,2,19,0,0,30,1,8,False
25.8,51.12,543.03,2024,2,19,0,0,35,1,8,False
24.42,30.23,273.31,2024,2,19,0,0,40,1,8,False
18.84,53.28,964.29,2024,2,19,0,0,45,1,8,False
19.62,51.96,368.89,2024,2,19,0,0,50,1,8,False
26.99,33.19,880.95,2024,2,19,0,0,55,1,8,False
24.06,35.96,688.01,2024,2,19,0,1,0,1,8,False
18.09,33.72,963.47,2024,2,19,0,1,5,1,8,False
19.01,50.85,252.49,2024,2,19,0,1,10,1,8,False
24.64,51.24,282.83,2024,2,19,0,1,15,1,8,False
18.05,48.41,556.0,2024,2,19,0,1,20,1,8,False
19.61,48.04,386.28,2024,2,19,0,1,25,1,8,False
23.49,53.22,520.17,2024,2,19,0,1,30,1,8,False
24.92,56.49,395.7,2024,2,19,0,1,35,1,8,False
24.52,68.55,717.72,2024,2,19,0,1,40,1,8,False
20.24,51.81,126.08,2024,2,19,0,1,45,1,8,False
25.12,40.63,983.95,2024,2,19,0,1,50,1,8,False
20.37,68.98,857.66,2024,2,19,0,1,55,1,8,False
21.25,34.23,538.45,2024,2,19,0,2,0,1,8,False
25.46,42.51,673.16,2024,2,19,0,2,5,1,8,False
24.5,66.1,521.42,2024,2,19,0,2,10,1,8,False
26.49,67.75,289.3,2024,2,19,0,2,15,1,8,False
24.58,55.8,407.68,2024,2,19,0,2,20,1,8,False
23.68,30.58,550.4351789883675,2024,2,19,0,2,25,1,8,False
18.94,47.7,987.1,2024,2,19,0,2,30,1,8,False
21.68,67.31,738.64,2024,2,19,0,2,35,1,8,False
20.65,65.59,259.96,2024,2,19,0,2,40,1,8,False
20.44,65.75,686.4,2024,2,19,0,2,45,1,8,False
27.73,41.75,280.05,2024,2,19,0,2,50,1,8,False
21.93,62.99,434.72,2024,2,19,0,2,55,1,8,False
26.92,56.89,899.28,2024,2,19,0,3,0,1,8,False
24.31,65.75,889.28,2024,2,19,0,3,5,1,8,False
25.95,55.52,745.36,2024,2,19,0,3,10,1,8,False
23.03,45.01,393.88,2024,2,19,0,3,15,1,8,False
23.77,55.38,843.25,2024,2,19,0,3,20,1,8,False
22.93,44.31,983.92,2024,2,19,0,3,25,1,8,False
19.95,30.1,425.13,2024,2,19,0,3,30,1,8,False
25.22,62.67,550.4351789883675,2024,2,19,0,3,35,1,8,False
20.81,63.97,180.39,2024,2,19,0,3,40,1,8,False
18.24,59.92,144.82,2024,2,19,0,3,45,1,8,False
24.45,39.1,469.15,2024,2,19,0,3,50,1,8,False
19.77,35.44,976.25,2024,2,19,0,3,55,1,8,False
27.4,36.8,673.74,2024,2,19,0,4,0,1,8,False
27.54,50.04,802.44,2024,2,19,0,4,5,1,8,False
27.15,40.57,351.12,2024,2,19,0,4,10,1,8,False
21.7,65.13,550.4351789883675,2024,2,19,0,4,15,1,8,False
18.15,51.77,550.4351789883675,2024,2,19,0,4,20,1,8,False
27.28,48.01,353.93,2024,2,19,0,4,25,1,8,False
22.28,64.86,684.31,2024,2,19,0,4,30,1,8,False
27.67,33.24,325.1,2024,2,19,0,4,35,1,8,False
27.64,64.84,413.53,2024,2,19,0,4,40,1,8,False
26.53,62.09,302.68,2024,2,19,0,4,45,1,8,False
20.94,57.48,159.92,2024,2,19,0,4,50,1,8,False
21.85,34.44,321.19,2024,2,19,0,4,55,1,8,False
26.51,32.1,841.16,2024,2,19,0,5,0,1,8,False
21.17,36.64,222.79,2024,2,19,0,5,5,1,8,False
19.69,40.81,232.38,2024,2,19,0,5,10,1,8,False
23.57,54.65,691.68,2024,2,19,0,5,15,1,8,False
27.36,33.21,488.2,2024,2,19,0,5,20,1,8,False
24.96,37.32,478.53,2024,2,19,0,5,25,1,8,False
23.7,38.02,925.72,2024,2,19,0,5,30,1,8,False
18.97,56.83,539.87,2024,2,19,0,5,35,1,8,False
24.15,43.85,256.39,2024,2,19,0,5,40,1,8,False
27.9,41.01,744.14,2024,2,19,0,5,45,1,8,False
19.4,31.16,396.66,2024,2,19,0,5,50,1,8,False
23.18,33.77,602.73,2024,2,19,0,5,55,1,8,False
26.77,51.99,666.95,2024,2,19,0,6,0,1,8,False
25.41,55.33,824.16,2024,2,19,0,6,5,1,8,False
24.97,59.69,151.31,2024,2,19,0,6,10,1,8,False
25.02,49.9,502.52,2024,2,19,0,6,15,1,8,False
21.59,40.76,519.93,2024,2,19,0,6,20,1,8,False
20.94,41.7,792.09,2024,2,19,0,6,25,1,8,False
26.09,56.03,531.81,2024,2,19,0,6,30,1,8,False
26.1,47.06,982.34,2024,2,19,0,6,35,1,8,False
26.67,36.34,904.82,2024,2,19,0,6,40,1,8,False
27.13,30.16,585.82,2024,2,19,0,6,45,1,8,False
23.11,40.4,550.4351789883675,2024,2,19,0,6,50,1,8,False
23.02,60.22,279.3,2024,2,19,0,6,55,1,8,False
25.98,56.59,800.98,2024,2,19,0,7,0,1,8,False
24.5,33.9,861.14,2024,2,19,0,7,5,1,8,False
25.02,47.77,155.78,2024,2,19,0,7,10,1,8,False
25.96,35.78,201.92,2024,2,19,0,7,15,1,8,False
26.9,48.92,498.1,2024,2,19,0,7,20,1,8,False
21.38,34.43,394.06,2024,2,19,0,7,25,1,8,False
21.76,57.18,388.8,2024,2,19,0,7,30,1,8,False
18.94,53.36,309.63,2024,2,19,0,7,35,1,8,False
23.78,40.36,219.01,2024,2,19,0,7,40,1,8,False
18.36,69.7,186.34,2024,2,19,0,7,45,1,8,False
22.66,53.55,896.51,2024,2,19,0,7,50,1,8,False
23.43,40.75,589.82,2024,2,19,0,7,55,1,8,False
20.87,44.31,561.29,2024,2,19,0,8,0,1,8,False
23.91,66.65,683.79,2024,2,19,0,8,5,1,8,False
18.31,38.13,755.05,2024,2,19,0,8,10,1,8,False
18.37,38.15,181.55,2024,2,19,0,8,15,1,8,False
26.23,52.82,258.49,2024,2,19,0,8,20,1,8,False
21.6,43.29,465.1,2024,2,19,0,8,25,1,8,False
19.27,42.17,448.78,2024,2,19,0,8,30,1,8,False
23.22,46.41,294.26,2024,2,19,0,8,35,1,8,False
25.7,63.24,763.72,2024,2,19,0,8,40,1,8,False
20.16,63.64,187.82,2024,2,19,0,8,45,1,8,False
24.23,56.63,691.9,2024,2,19,0,8,50,1,8,False
18.85,53.09,598.26,2024,2,19,0,8,55,1,8,False
18.52,30.63,701.9,2024,2,19,0,9,0,1,8,False
23.31,52.6,199.71,2024,2,19,0,9,5,1,8,False
23.41,68.16,990.63,2024,2,19,0,9,10,1,8,False
24.37,63.49,389.06,2024,2,19,0,9,15,1,8,False
25.26,35.78,513.27,2024,2,19,0,9,20,1,8,False
27.76,68.96,579.01,2024,2,19,0,9,25,1,8,False
23.16,38.67,779.39,2024,2,19,0,9,30,1,8,False
21.23,34.95,384.21,2024,2,19,0,9,35,1,8,False
25.95,41.56,462.51,2024,2,19,0,9,40,1,8,False
20.71,35.65,406.79,2024,2,19,0,9,45,1,8,False
22.39,38.99,673.17,2024,2,19,0,9,50,1,8,False
18.78,42.35,457.28,2024,2,19,0,9,55,1,8,False
18.25,53.63,594.75,2024,2,19,0,10,0,1,8,False
27.63,54.55,683.97,2024,2,19,0,10,5,1,8,False
26.36,51.38,677.24,2024,2,19,0,10,10,1,8,False
24.96,41.93,355.91,2024,2,19,0,10,15,1,8,False
22.09,68.14,903.57,2024,2,19,0,10,20,1,8,False
19.73,41.87,569.42,2024,2,19,0,10,25,1,8,False
19.56,46.04,715.13,2024,2,19,0,10,30,1,8,False
20.5,46.89,214.68,2024,2,19,0,10,35,1,8,False
23.49,30.9,291.4,2024,2,19,0,10,40,1,8,False
25.15,47.15,879.61,2024,2,19,0,10,45,1,8,False
24.6,43.53,237.43,2024,2,19,0,10,50,1,8,False
20.8,32.83,144.94,2024,2,19,0,10,55,1,8,False
27.55,62.45,777.52,2024,2,19,0,11,0,1,8,False
25.38,58.47,308.12,2024,2,19,0,11,5,1,8,False
23.54,41.34,787.87,2024,2,19,0,11,10,1,8,False
24.12,40.42,276.35,2024,2,19,0,11,15,1,8,False
22.2,66.19,962.88,2024,2,19,0,11,20,1,8,False
20.48,37.57,952.77,2024,2,19,0,11,25,1,8,False
21.56,64.95,473.77,2024,2,19,0,11,30,1,8,False
25.58,33.11,287.21,2024,2,19,0,11,35,1,8,False
18.14,63.58,603.72,2024,2,19,0,11,40,1,8,False
19.16,51.67,863.57,2024,2,19,0,11,45,1,8,False
18.46,61.03,148.08,2024,2,19,0,11,50,1,8,False
18.41,33.72,138.81,2024,2,19,0,11,55,1,8,False
26.55,46.8,873.23,2024,2,19,0,12,0,1,8,False
25.04,48.01,576.84,2024,2,19,0,12,5,1,8,False
22.74,50.61,998.71,2024,2,19,0,12,10,1,8,False
18.98,55.11,384.86,2024,2,19,0,12,15,1,8,False
22.92,45.58,403.2,2024,2,19,0,12,20,1,8,False
22.73,47.9,481.86,2024,2,19,0,12,25,1,8,False
19.73,44.81,182.51,2024,2,19,0,12,30,1,8,False
22.34,57.95,285.02,2024,2,19,0,12,35,1,8,False
21.99,66.34,702.56,2024,2,19,0,12,40,1,8,False
24.16,34.57,250.75,2024,2,19,0,12,45,1,8,False
24.35,41.5,298.85,2024,2,19,0,12,50,1,8,False
18.45,38.79,427.45,2024,2,19,0,12,55,1,8,False
21.75,67.57,446.13,2024,2,19,0,13,0,1,8,False
24.26,50.043729282057186,410.4,2024,2,19,0,13,5,1,8,False
23.03,35.72,344.69,2024,2,19,0,13,10,1,8,False
26.56,45.92,549.87,2024,2,19,0,13,15,1,8,False
24.59,48.95,793.8,2024,2,19,0,13,20,1,8,False
19.63,54.92,957.84,2024,2,19,0,13,25,1,8,False
18.71,38.61,420.97,2024,2,19,0,13,30,1,8,False
24.42,50.08,396.8,2024,2,19,0,13,35,1,8,False
18.27,62.06,972.2,2024,2,19,0,13,40,1,8,False
23.86,56.4,104.2,2024,2,19,0,13,45,1,8,False
27.4,34.17,432.73,2024,2,19,0,13,50,1,8,False
23.75,66.49,688.42,2024,2,19,0,13,55,1,8,False
21.88,43.54,432.69,2024,2,19,0,14,0,1,8,False
24.43,46.98,159.45,2024,2,19,0,14,5,1,8,False
22.58,57.7,494.18,2024,2,19,0,14,10,1,8,False
23.46,48.45,250.86,2024,2,19,0,14,15,1,8,False
27.41,53.52,116.69,2024,2,19,0,14,20,1,8,False
21.86,49.11,845.37,2024,2,19,0,14,25,1,8,False
27.61,42.31,530.76,2024,2,19,0,14,30,1,8,False
27.05,50.043729282057186,103.22,2024,2,19,0,14,35,1,8,False
19.96,42.46,550.4351789883675,2024,2,19,0,14,40,1,8,False
18.69,47.95,632.83,2024,2,19,0,14,45,1,8,False
19.01,38.1,679.22,2024,2,19,0,14,50,1,8,False
18.18,32.43,420.02,2024,2,19,0,14,55,1,8,False
18.94,57.95,900.73,2024,2,19,0,15,0,1,8,False
24.83,35.04,202.12,2024,2,19,0,15,5,1,8,False
18.71,62.89,305.63,2024,2,19,0,15,10,1,8,False
21.19,44.56,564.2,2024,2,19,0,15,15,1,8,False
26.45,39.96,592.95,2024,2,19,0,15,20,1,8,False
18.23,46.39,760.08,2024,2,19,0,15,25,1,8,False
26.14,35.98,374.19,2024,2,19,0,15,30,1,8,False
20.82,63.96,466.94,2024,2,19,0,15,35,1,8,False
19.18,36.67,185.27,2024,2,19,0,15,40,1,8,False
24.97,49.75,654.06,2024,2,19,0,15,45,1,8,False
24.29,36.48,941.85,2024,2,19,0,15,50,1,8,False
26.77,31.83,352.71,2024,2,19,0,15,55,1,8,False
25.35,61.91,514.53,2024,2,19,0,16,0,1,8,False
26.03,52.3,528.24,2024,2,19,0,16,5,1,8,False
20.82,33.12,495.44,2024,2,19,0,16,10,1,8,False
19.77,65.72,893.86,2024,2,19,0,16,15,1,8,False
25.51,45.7,589.64,2024,2,19,0,16,20,1,8,False
26.07,47.04,403.18,2024,2,19,0,16,25,1,8,False
27.91,49.8,326.57,2024,2,19,0,16,30,1,8,False
22.13,38.99,927.62,2024,2,19,0,16,35,1,8,False
21.72,52.03,680.86,2024,2,19,0,16,40,1,8,False
25.76,40.0,188.88,2024,2,19,0,16,45,1,8,False
21.41,63.44,464.45,2024,2,19,0,16,50,1,8,False
27.31,63.05,723.34,2024,2,19,0,16,55,1,8,False
26.58,49.08,192.12,2024,2,19,0,17,0,1,8,False
22.29,51.27,900.78,2024,2,19,0,17,5,1,8,False
25.51,69.71,947.66,2024,2,19,0,17,10,1,8,False
25.55,61.81,240.15,2024,2,19,0,17,15,1,8,False
19.03,32.52,570.05,2024,2,19,0,17,20,1,8,False
27.03,36.9,642.62,2024,2,19,0,17,25,1,8,False
23.05,53.84,587.47,2024,2,19,0,17,30,1,8,False
22.995822802039598,44.87,619.36,2024,2,19,0,17,35,1,8,False
21.2,62.16,819.77,2024,2,19,0,17,40,1,8,False
26.96,55.64,241.43,2024,2,19,0,17,45,1,8,False
21.89,69.63,928.15,2024,2,19,0,17,50,1,8,False
18.11,30.52,567.97,2024,2,19,0,17,55,1,8,False
27.05,47.54,231.87,2024,2,19,0,18,0,1,8,False
18.91,46.3,856.41,2024,2,19,0,18,5,1,8,False
21.19,47.37,874.46,2024,2,19,0,18,10,1,8,False
27.5,65.41,419.13,2024,2,19,0,18,15,1,8,False
27.51,46.24,741.45,2024,2,19,0,18,20,1,8,False
23.73,61.85,142.29,2024,2,19,0,18,25,1,8,False
24.32,55.31,488.9,2024,2,19,0,18,30,1,8,False
22.48,49.51,739.51,2024,2,19,0,18,35,1,8,False
20.93,57.71,829.85,2024,2,19,0,18,40,1,8,False
21.29,39.16,594.15,2024,2,19,0,18,45,1,8,False
24.73,35.69,769.14,2024,2,19,0,18,50,1,8,False
25.52,68.69,203.51,2024,2,19,0,18,55,1,8,False
25.92,45.66,387.33,2024,2,19,0,19,0,1,8,False
25.9,42.15,724.58,2024,2,19,0,19,5,1,8,False
18.91,40.61,591.88,2024,2,19,0,19,10,1,8,False
22.94,54.89,257.89,2024,2,19,0,19,15,1,8,False
18.58,69.86,219.08,2024,2,19,0,19,20,1,8,False
23.5,65.8,152.53,2024,2,19,0,19,25,1,8,False
22.42,46.02,755.23,2024,2,19,0,19,30,1,8,False
26.88,65.81,741.23,2024,2,19,0,19,35,1,8,False
21.51,48.28,276.44,2024,2,19,0,19,40,1,8,False
19.17,34.37,907.96,2024,2,19,0,19,45,1,8,False
19.43,37.51,107.29,2024,2,19,0,19,50,1,8,False
25.62,39.72,274.08,2024,2,19,0,19,55,1,8,False
24.18,66.71,550.4351789883675,2024,2,19,0,20,0,1,8,False
19.01,69.16,475.76,2024,2,19,0,20,5,1,8,False
18.84,39.08,409.65,2024,2,19,0,20,10,1,8,False
25.01,46.12,358.92,2024,2,19,0,20,15,1,8,False
18.73,69.26,578.89,2024,2,19,0,20,20,1,8,False
26.22,50.043729282057186,789.29,2024,2,19,0,20,25,1,8,False
25.06,47.71,445.5,2024,2,19,0,20,30,1,8,False
18.81,48.11,339.96,2024,2,19,0,20,35,1,8,False
18.85,65.14,817.41,2024,2,19,0,20,40,1,8,False
27.87,31.17,320.53,2024,2,19,0,20,45,1,8,False
21.74,67.23,833.58,2024,2,19,0,20,50,1,8,False
21.71,33.57,391.07,2024,2,19,0,20,55,1,8,False
